"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"1/30/2018","Rosedale Counter","THE ROSEDALE COUNTER 20 TORONTO","4.51","debit","Restaurants","American Express Cobalt Card","",""
"1/30/2018","Longo's","LONGO'S # 24 TORONTO TORONTO","40.95","debit","Groceries","American Express Cobalt Card","",""
"1/30/2018","Longo's","LONGO'S # 24 TORONTO TORONTO","37.02","debit","Groceries","American Express Cobalt Card","",""
"1/30/2018","Toronto Hydro Bpy","TORONTO HYDRO BPY","45.00","debit","Utilities","TD BASIC BUSINESS PLAN","",""
"1/30/2018","Momofuku Noodl","MOMOFUKU TORONTO NOODL","53.86","debit","Restaurants","CREDIT CARD","",""
"1/30/2018","Real Sports Bar","REAL SPORTS BAR AND GRILL","42.51","debit","Restaurants","CREDIT CARD","",""
"1/29/2018","Presto","PRESTO TORONTO","146.25","debit","Public Transportation","Starwood Preferred Guest®* Business Credit Card from American Express","",""
"1/29/2018","Transfer to TD UNLIMITED CHEQUING ACCOUNT","Transfer to TD UNLIMITED CHEQUING ACCOUNT 6328801 RQ353","500.00","debit","Transfer","LINE OF CREDIT UNSECURED","",""
"1/29/2018","Transfer to TD BASIC BUSINESS PLAN","Transfer to TD BASIC BUSINESS PLAN 5013376 RQ354","300.00","debit","Transfer","LINE OF CREDIT UNSECURED","",""
"1/29/2018","Transfer from LINE OF CREDIT UNSECURED","Transfer from LINE OF CREDIT UNSECURED 3258410 RQ353","500.00","credit","Transfer","TD UNLIMITED CHEQUING ACCOUNT","",""
"1/29/2018","American Express","American Express IAP","1400.00","debit","Credit Card Payment","TD BASIC BUSINESS PLAN","",""
"1/29/2018","Transfer from LINE OF CREDIT UNSECURED","Transfer from LINE OF CREDIT UNSECURED 3258410 RQ354","300.00","credit","Transfer","TD BASIC BUSINESS PLAN","",""
"1/29/2018","Transfer from BofA Core Checking","PAYMENT","76.16","credit","Credit Card Payment","Bank of America Cash Rewards Visa Platinum Plus ","",""
"1/29/2018","Transfer to Bank of America Cash Rewards Visa Platinum Plus ","Bank of America Credit Card Bill Payment","76.16","debit","Credit Card Payment","BofA Core Checking","",""
"1/29/2018","Balzac's Coffee Ltd","BALZAC'S COFFEE - LIBRA TORONTO","5.60","debit","Fast Food","American Express Cobalt Card","",""
"1/29/2018","Belong Cafe","BELONG CAFE","58.41","debit","Restaurants","CREDIT CARD","",""
"1/29/2018","Toyota","TOYOTA FINANCIAL RETAIL_PAY 43229982122817  WEB ID: 1953775816","336.60","debit","Auto Payment","TOTAL CHECKING","",""
"1/28/2018","iTunes","WWW.ITUNES.COM/BILL CUPERTINO CAMT77ZYQZL8A DIRECT MKTG INTERNET 320180280772109187","5.38","debit","Music","Starwood Preferred Guest","",""
"1/28/2018","Hellofresh Canada Inc","HELLOFRESH CANADA INC*H TORONTO","36.99","debit","Health & Fitness","American Express Cobalt Card","",""
"1/28/2018","Pilot Travel Center","PILOT UNION STATION 209 TORONTO","9.42","debit","Coffee Shops","American Express Cobalt Card","",""
"1/28/2018","Danish Pastry House","THE DANISH PASTRY HOUSE TORONTO","5.65","debit","Restaurants","American Express Cobalt Card","",""
"1/28/2018","Harbour Sixty Steakhouse","HARBOUR SIXTY STEAKHOUSE","154.00","debit","Restaurants","CREDIT CARD","",""
"1/28/2018","Menchie Frozen Yogur","MENCHIE'S FROZEN YOGUR","12.04","debit","Fast Food","CREDIT CARD","",""
"1/28/2018","Ave Maria Latin","AVE MARIA LATIN CAFE","34.56","debit","Restaurants","CREDIT CARD","",""
"1/28/2018","Brock Health","BROCK HEALTH","81.37","debit","Health & Fitness","CREDIT CARD","",""
"1/28/2018","Blue Mountain","PITA PIT BLUE MOUNTAIN","20.80","debit","Gift","CREDIT CARD","",""
"1/27/2018","Toronto Parking Authority","TORONTO PARKING AUTH TORONTO","20.00","debit","Parking","Starwood Preferred Guest®* Business Credit Card from American Express","",""
"1/27/2018","Received Thank You","PAYMENT RECEIVED - THANK YOU","1400.00","credit","Credit Card Payment","Starwood Preferred Guest®* Business Credit Card from American Express","",""
"1/27/2018","Honk Mobile Honk","HONK MOBILE HONK MOBILE TORONTO","4.25","debit","Parking","Starwood Preferred Guest®* Business Credit Card from American Express","",""
"1/27/2018","Crown & Dragon Pub Inc","CROWN & DRAGON PUB TORO TORONTO","6.65","debit","Restaurants","American Express Cobalt Card","",""
"1/27/2018","Crown & Dragon Pub Inc","CROWN & DRAGON PUB TORO TORONTO","32.95","debit","Restaurants","American Express Cobalt Card","",""
"1/26/2018","Eurest","EUREST BOMBARDIERQP TORONTO","2.81","debit","Food & Dining","Starwood Preferred Guest®* Business Credit Card from American Express","",""
"1/26/2018","Transfer to TD UNLIMITED CHEQUING ACCOUNT","Transfer to TD UNLIMITED CHEQUING ACCOUNT 6328801 JH502","500.00","debit","Transfer","LINE OF CREDIT UNSECURED","",""
"1/26/2018","Transfer from LINE OF CREDIT UNSECURED","Transfer from LINE OF CREDIT UNSECURED 3258410 JH502","500.00","credit","Transfer","TD UNLIMITED CHEQUING ACCOUNT","",""
"1/26/2018","Send E Tfr","SEND E-TFR CA***QPa","980.00","debit","Gift","TD UNLIMITED CHEQUING ACCOUNT","",""
"1/26/2018","American Express","American Express IAP","500.00","debit","Credit Card Payment","TD UNLIMITED CHEQUING ACCOUNT","",""
"1/26/2018","Send E Tfr","SEND E-TFR FEE","1.00","debit","Fees & Charges","TD UNLIMITED CHEQUING ACCOUNT","",""
"1/26/2018","Rockwell Collins","ROCKWELL COLLINS STORE","17.92","debit","Gift","CREDIT CARD","",""
"1/26/2018","T-Mobile","TMOBILE POSTPAID WEB","180.00","debit","Mobile Phone","CREDIT CARD","",""
"1/26/2018","Moses Lake Community Health Center","MOSES LAKE COMMUNITY HEAL","66.91","debit","Doctor","CREDIT CARD","",""
"1/25/2018","Tim Horton's","TIM HORTON'S #5556 TORONTO","9.58","debit","Coffee Shops","American Express Cobalt Card","",""
"1/25/2018","Payu Pagosonline Bogota","PAYU PAGOSONLINE BOGOTA D.C.","54.89","debit","Travel","American Express Cobalt Card","",""
"1/25/2018","Transfer from BofA Core Checking","PAYMENT","52.00","credit","Credit Card Payment","Bank of America Cash Rewards Visa Platinum Plus ","",""
"1/25/2018","Zelle Transfer Conf","Zelle Transfer Conf# 23b61f22b; Venezuela, Jorge","100.00","debit","Transfer","BofA Core Checking","",""
"1/25/2018","Transfer to Bank of America Cash Rewards Visa Platinum Plus ","Bank of America Credit Card Bill Payment","52.00","debit","Credit Card Payment","BofA Core Checking","",""
"1/25/2018","Uber.com","UBER D3Y4X HELP.UBER.COM","9.84","debit","Rental Car & Taxi","CREDIT CARD","",""
"1/24/2018","Pilot Travel Center","PILOT UNION STATION 209 TORONTO","3.68","debit","Coffee Shops","Starwood Preferred Guest®* Business Credit Card from American Express","",""
"1/24/2018","Il Gelato Di","IL GELATO DI CARLOTTA 2 CONCORD","5.64","debit","Restaurants","American Express Cobalt Card","",""
"1/24/2018","Kate Spade","KATE SPADE CANADA #1865 CONCORD","27.12","debit","Clothing","American Express Cobalt Card","",""
"1/24/2018","Presto Vaughan Stn","PRESTO VAUGHAN STN VAUGHAN","11.00","debit","Public Transportation","American Express Cobalt Card","",""
"1/24/2018","Starbucks","STARBUCKS 04374 TORONTO","3.94","debit","Coffee Shops","American Express Cobalt Card","",""
"1/24/2018","Received Thank You","PAYMENT RECEIVED - THANK YOU","500.00","credit","Credit Card Payment","American Express Cobalt Card","",""
"1/24/2018","Transfer from BofA Core Checking","ONLINE PAYMENT - THANK YOU 320180240722033515","500.00","credit","Credit Card Payment","Starwood Preferred Guest","",""
"1/24/2018","Transferwiseltd Des Gaviria","TransferwiseLtd DES:GAVIRIA JU ID: INDN:Juan Gaviria CO ID:XXXXX11702 PPD","1591.09","credit","Transfer","BofA Core Checking","",""
"1/24/2018","Transfer to TOTAL CHECKING","Zelle Transfer Conf# 203d8a1f3; JUAN P GAVIRIA DUGAND","300.00","debit","Transfer","BofA Core Checking","",""
"1/24/2018","Transfer to Starwood Preferred Guest","AMERICAN EXPRESS DES:ACH PMT ID:M8110 INDN:JUAN GAVIRIA CO ID:XXXXX33497 WEB","500.00","debit","Credit Card Payment","BofA Core Checking","",""
"1/24/2018","Transfer to TOTAL CHECKING","Zelle Transfer Conf# d5a16c806; JUAN P GAVIRIA DUGAND","500.00","debit","Transfer","BofA Core Checking","",""
"1/24/2018","Southwest Airlines","SOUTHWES    5261405582315","75.31","credit","Air Travel","CREDIT CARD","",""
"1/24/2018","Transfer from TOTAL CHECKING","Payment Thank You-Mobile","500.00","credit","Credit Card Payment","CREDIT CARD","",""
"1/24/2018","Southwest Airlines","SOUTHWES    5261405582329","75.31","debit","Air Travel","CREDIT CARD","",""
"1/24/2018","Southwest Airlines","SOUTHWES    5261405582315","75.31","debit","Air Travel","CREDIT CARD","",""
"1/24/2018","Southwest Airlines","SOUTHWES    5261405582329","75.31","credit","Air Travel","CREDIT CARD","",""
"1/24/2018","Transfer from TOTAL CHECKING","Payment Thank You-Mobile","206.65","credit","Credit Card Payment","CREDIT CARD","",""
"1/24/2018","Transfer to CREDIT CARD","Payment to Chase card ending in5519 01/24","206.65","debit","Credit Card Payment","TOTAL CHECKING","",""
"1/24/2018","Transfer from BofA Core Checking","QuickPay with Zelle payment fromGAVIRIA, JUAN 6845931404","500.00","credit","Transfer","TOTAL CHECKING","",""
"1/24/2018","Transfer to Green Card","AMERICAN EXPRESS ACH PMT    M3536           WEB ID: 2005032111","80.52","debit","Credit Card Payment","TOTAL CHECKING","",""
"1/24/2018","Transfer from BofA Core Checking","QuickPay with Zelle payment fromGAVIRIA, JUAN 6845966947","300.00","credit","Transfer","TOTAL CHECKING","",""
"1/24/2018","Transfer to CREDIT CARD","Payment to Chase card ending in7208 01/24","500.00","debit","Credit Card Payment","TOTAL CHECKING","",""
"1/23/2018","Pilot Travel Center","PILOT UNION STATION 209 TORONTO","3.68","debit","Coffee Shops","Starwood Preferred Guest®* Business Credit Card from American Express","",""
"1/23/2018","Transfer from TOTAL CHECKING","ONLINE PAYMENT - THANK YOU 320180230707378476","80.52","credit","Credit Card Payment","Green Card","",""
"1/23/2018","Send E Tfr","SEND E-TFR FEE","1.00","debit","Fees & Charges","TD UNLIMITED CHEQUING ACCOUNT","",""
"1/23/2018","Send E Tfr","SEND E-TFR CA***y5y","200.00","debit","Gift","TD UNLIMITED CHEQUING ACCOUNT","",""
"1/23/2018","Transferwise Msp","TRANSFERWISE MSP","2000.00","debit","Transfer","TD UNLIMITED CHEQUING ACCOUNT","",""
"1/23/2018","Starbucks","STARBUCKS 04374 TORONTO","7.35","debit","Coffee Shops","American Express Cobalt Card","",""
"1/22/2018","Harry Rosen Inc","HARRY ROSEN #F990 EC TORONTO","565.00","debit","Clothing","Starwood Preferred Guest®* Business Credit Card from American Express","",""
"1/22/2018","Pilot Travel Center","PILOT UNION STATION 209 TORONTO","4.23","debit","Coffee Shops","Starwood Preferred Guest®* Business Credit Card from American Express","",""
"1/22/2018","Transfer Td Unlimited","Transfer to TD UNLIMITED CHEQUING ACCOUNT 6328801 UR104","1000.00","debit","Transfer","TD BASIC BUSINESS PLAN","",""
"1/22/2018","Transfer Td Unlimited","Transfer to TD UNLIMITED CHEQUING ACCOUNT 6328801 UR101","3500.00","debit","Transfer","TD BASIC BUSINESS PLAN","",""
"1/22/2018","Costco","COSTCO WHOLESAL","266.57","debit","Shopping","TD UNLIMITED CHEQUING ACCOUNT","",""
"1/22/2018","American Express","American Express BPY","140.00","debit","Credit Card Payment","TD UNLIMITED CHEQUING ACCOUNT","",""
"1/22/2018","Transfer from TD BASIC BUSINESS PLAN","Transfer from TD BASIC BUSINESS PLAN 5013376 UR104","1000.00","credit","Transfer","TD UNLIMITED CHEQUING ACCOUNT","",""
"1/22/2018","American Express","American Express BPY","1000.00","debit","Credit Card Payment","TD UNLIMITED CHEQUING ACCOUNT","",""
"1/22/2018","Transfer from TD BASIC BUSINESS PLAN","Transfer from TD BASIC BUSINESS PLAN 5013376 UR101","3500.00","credit","Transfer","TD UNLIMITED CHEQUING ACCOUNT","",""
"1/22/2018","Transfer to TD MINIMUM CHEQUING ACCOUNT","Transfer to TD MINIMUM CHEQUING ACCOUNT 6328801 UR101","3500.00","debit","Transfer","TD BASIC BUSINESS PLAN","",""
"1/22/2018","Tdm Cbp","TDM CBP","5062.40","credit","Income","TD BASIC BUSINESS PLAN","",""
"1/22/2018","Transfer to TD MINIMUM CHEQUING ACCOUNT","Transfer to TD MINIMUM CHEQUING ACCOUNT 6328801 UR104","1000.00","debit","Transfer","TD BASIC BUSINESS PLAN","",""
"1/22/2018","Transfer to CREDIT CARD","Payment to Chase card ending in7208 01/22","32.00","debit","Credit Card Payment","TOTAL CHECKING","",""
"1/22/2018","Transfer to CREDIT CARD","Payment to Chase card ending in5519 01/22","25.00","debit","Credit Card Payment","TOTAL CHECKING","",""
"1/21/2018","Esso","ESSO-DIXIE AND DUNDAS MISSISSAUGA","86.45","debit","Gas & Fuel","Starwood Preferred Guest®* Business Credit Card from American Express","",""
"1/21/2018","El Rancho Restaurant and Night Club","EL RANCHO RESTAURANT 20 TORONTO","70.15","debit","Restaurants","American Express Cobalt Card","",""
"1/21/2018","Transfer from TOTAL CHECKING","Payment Thank You-Mobile","32.00","credit","Credit Card Payment","CREDIT CARD","",""
"1/21/2018","Aramark","ARAMARK ROCKWELL INTL JAV","1.70","debit","Food & Dining","CREDIT CARD","",""
"1/21/2018","Cid Jv Cedar","CID JV CEDAR RIDGE","27.03","debit","Restaurants","CREDIT CARD","",""
"1/21/2018","Butcher Block Steakhou","BUTCHER BLOCK STEAKHOU","71.33","debit","Restaurants","CREDIT CARD","",""
"1/21/2018","Transfer from TOTAL CHECKING","Payment Thank You-Mobile","25.00","credit","Credit Card Payment","CREDIT CARD","",""
"1/20/2018","Square One","SQUARE ONE INSURANCEVANCOUVER CA622488 INSURANCE SALES 320180200659079266","24.37","debit","Business Services","Starwood Preferred Guest","",""
"1/20/2018","Marriott","CEDAR RAPIDS MARRIOTCEDAR RAPID7350 LODGING 320180200657108113","520.76","debit","Hotel","Starwood Preferred Guest","",""
"1/20/2018","La Vie En Rose","LA VIE EN ROSE INC # 82 MISSISSAUGA","39.52","debit","Clothing","American Express Cobalt Card","",""
"1/20/2018","Panera Bread","PANERA BREAD 5005 ETOBICOKE","26.28","debit","Fast Food","American Express Cobalt Card","",""
"1/20/2018","Rogers Cbl","ROGERS *CBL30352111801 888-764-3771","84.74","debit","Internet","American Express Cobalt Card","",""
"1/20/2018","Aroma Espresso Bar","AROMA ESPRESSO BAR S ETOBICOKE","7.60","debit","Coffee Shops","American Express Cobalt Card","",""
"1/20/2018","Sheherzade Persian Grill","SHEHERZADE PERSIAN G TORONTO","85.20","debit","Restaurants","American Express Cobalt Card","",""
"1/19/2018","Received Thank You","PAYMENT RECEIVED - THANK YOU","140.00","credit","Credit Card Payment","Starwood Preferred Guest®* Business Credit Card from American Express","",""
"1/19/2018","Interest","INTEREST","1.77","debit","Loan Interest","Starwood Preferred Guest®* Business Credit Card from American Express","",""
"1/19/2018","Longo's","LONGO'S # 24 TORONTO TORONTO","51.05","debit","Groceries","American Express Cobalt Card","",""
"1/19/2018","Received Thank You","PAYMENT RECEIVED - THANK YOU","1000.00","credit","Credit Card Payment","American Express Cobalt Card","",""
"1/19/2018","Interest Charge Purchases","Interest Charge on Purchases 180120040000425371","171.02","debit","Finance Charge","Starwood Preferred Guest","",""
"1/19/2018","Interés Cargado Adlnto","INTERÉS CARGADO ADLNTO EFCTVO DE BANCO C_BANKCHARGES","0.06","debit","Finance Charge","Bank of America Cash Rewards Visa Platinum Plus ","",""
"1/19/2018","Ajuste Cargo Pago","AJUSTE CARGO PAGO TARDIO C_FEES","27.00","credit","Credit Card Payment","Bank of America Cash Rewards Visa Platinum Plus ","",""
"1/19/2018","Interés Cargado Por","INTERÉS CARGADO POR COMPRAS C_BANKCHARGES","1.49","debit","Finance Charge","Bank of America Cash Rewards Visa Platinum Plus ","",""
"1/19/2018","Aramark","ARAMARK ROCKWELL INTL JAV","1.70","debit","Food & Dining","CREDIT CARD","",""
"1/19/2018","Granite City","GRANITE CITY - CEDAR RAPI","19.84","debit","Restaurants","CREDIT CARD","",""
"1/19/2018","Aramark","ARAMARK ROCKWELL INTL JAV","1.70","debit","Food & Dining","CREDIT CARD","",""
"1/19/2018","Aramark","ARAMARK ROCKWELL INTL JAV","1.70","debit","Food & Dining","CREDIT CARD","",""
"1/18/2018","Harry Rosen F","HARRY ROSEN #F990 EC TORONTO","565.00","credit","Credit Card Payment","Starwood Preferred Guest®* Business Credit Card from American Express","",""
"1/18/2018","Sp Tu Gente","SP * TU GENTE VENEZUEL WINTER GARDEN","44.97","debit","Gift","American Express Cobalt Card","",""
"1/18/2018","Annual Membership Fee","RENEWAL MEMBERSHIP FEE 320180183633837973","95.00","debit","Service Fee","Green Card","",""
"1/18/2018","Transfer from BofA Core Checking","PAYMENT","53.00","credit","Credit Card Payment","Bank of America Cash Rewards Visa Platinum Plus ","",""
"1/18/2018","Transfer to Bank of America Cash Rewards Visa Platinum Plus ","Bank of America Credit Card Bill Payment","53.00","debit","Credit Card Payment","BofA Core Checking","",""
"1/18/2018","Transfer from TOTAL CHECKING","Zelle Transfer Conf# 143261715; JUAN P GAVIRIA","100.00","credit","Transfer","BofA Core Checking","",""
"1/18/2018","Aramark","ARAMARK ROCKWELL INTL JAV","1.70","debit","Food & Dining","CREDIT CARD","",""
"1/18/2018","Aramark","ARAMARK ROCKWELL INTL JAV","3.94","debit","Food & Dining","CREDIT CARD","",""
"1/18/2018","Taste India","TASTE OF INDIA","24.28","debit","Restaurants","CREDIT CARD","",""
"1/18/2018","Aramark","ARAMARK ROCKWELL INTL","4.77","debit","Food & Dining","CREDIT CARD","",""
"1/18/2018","Transfer to BofA Core Checking","QuickPay with Zelle payment to juan gaviria 6832715703","100.00","debit","Transfer","TOTAL CHECKING","",""
"1/17/2018","Cargo Por Pago","CARGO POR PAGO ATRASADO VENCIDO C_FEES","27.00","debit","Credit Card Payment","Bank of America Cash Rewards Visa Platinum Plus ","",""
"1/17/2018","Aramark","ARAMARK ROCKWELL INTL JAV","1.70","debit","Food & Dining","CREDIT CARD","",""
"1/17/2018","Chili's","CHILI S GRILL & BAR 652","30.11","debit","Restaurants","CREDIT CARD","",""
"1/17/2018","Aramark","ARAMARK ROCKWELL INTL","2.56","debit","Food & Dining","CREDIT CARD","",""
"1/17/2018","Aramark","ARAMARK ROCKWELL INTL","10.25","debit","Food & Dining","CREDIT CARD","",""
"1/16/2018","Starbucks","STARBUCKS 04374 TORONTO","8.48","debit","Coffee Shops","American Express Cobalt Card","",""
"1/16/2018","Longo's","LONGO'S # 24 TORONTO TORONTO","40.81","debit","Groceries","American Express Cobalt Card","",""
"1/16/2018","Argo Tea","ARGO TEA","8.19","debit","Coffee Shops","CREDIT CARD","",""
"1/16/2018","Uber.com","UBER TRIP WMSJ6 HELP.UBER","27.74","debit","Rental Car & Taxi","CREDIT CARD","",""
"1/15/2018","Harry Rosen Inc","HARRY ROSEN #F990 EC TORONTO","565.00","debit","Clothing","Starwood Preferred Guest®* Business Credit Card from American Express","",""
"1/15/2018","Td Insurance Ins","TD Insurance INS","110.91","debit","Auto Insurance","TD UNLIMITED CHEQUING ACCOUNT","",""
"1/15/2018","iTunes","WWW.ITUNES.COM/BILL CUPERTINO CAMLWZ75BB13A DIRECT MKTG INTERNET 320180150579993304","9.99","debit","Music","Starwood Preferred Guest","",""
"1/15/2018","Spotify","SPOTIFY USA NEW YORKP04A2582B8 DIRECT MKTG MISC 320180150586908293","10.78","debit","Music","Starwood Preferred Guest","",""
"1/15/2018","Zara","ZARA TEC #3194 TORONTO","18.07","debit","Clothing","American Express Cobalt Card","",""
"1/15/2018","Starbucks","STARBUCKS 04374 TORONTO","5.37","debit","Coffee Shops","American Express Cobalt Card","",""
"1/15/2018","Hearth T Us","HEARTH T1 US POST SE MISSISSAUGA","18.85","debit","Clothing","American Express Cobalt Card","",""
"1/15/2018","Miku Toronto","MIKU TORONTO TORONTO","100.01","debit","Restaurants","American Express Cobalt Card","",""
"1/15/2018","La Vie En Rose","LA VIE EN ROSE INC #44 TORONTO","4.51","debit","Clothing","American Express Cobalt Card","",""
"1/15/2018","Uber.com","UBER TRIP C3HS2 HELP.UBER","8.96","debit","Rental Car & Taxi","CREDIT CARD","",""
"1/14/2018","Audible.com","AUDIBLE ADBL.CO/BILL","19.24","debit","Books","Starwood Preferred Guest®* Business Credit Card from American Express","",""
"1/14/2018","Calii Love","CALII LOVE","22.52","debit","Restaurants","CREDIT CARD","",""
"1/14/2018","Hom Cafe","HOM CAFE","16.91","debit","Restaurants","CREDIT CARD","",""
"1/14/2018","Illy Caffe","ILLY CAFFE","9.98","debit","Restaurants","CREDIT CARD","",""
"1/14/2018","Uber.com","UBER TRIP 3MY2K HELP.UBER","9.66","debit","Rental Car & Taxi","CREDIT CARD","",""
"1/13/2018","Terroni Queen","TERRONI QUEEN TORONTO","84.11","debit","Restaurants","American Express Cobalt Card","",""
"1/13/2018","Membership Fee Installment","MEMBERSHIP FEE INSTALLMENT","10.00","debit","Fees & Charges","American Express Cobalt Card","",""
"1/13/2018","Tpa Green P","TPA/GREEN ""P"" Q TORONTO","9.00","debit","Parking","Starwood Preferred Guest®* Business Credit Card from American Express","",""
"1/13/2018","David Tea","DAVID'S TEA #128 TORONTO","3.68","debit","Coffee Shops","Starwood Preferred Guest®* Business Credit Card from American Express","",""
"1/12/2018","Su Shi Yorkdale","SU & SHI @ YORKDALE TORONTO","13.55","debit","Restaurants","American Express Cobalt Card","",""
"1/12/2018","Tim Horton's","TIM HORTONS #1574# QT EAST YORK","3.14","debit","Coffee Shops","American Express Cobalt Card","",""
"1/12/2018","Subway","SUBWAY # 29372 TORONTO","7.10","debit","Fast Food","American Express Cobalt Card","",""
"1/12/2018","H&M","H & M CA #007 - YORKDA TORONTO","39.53","debit","Clothing","American Express Cobalt Card","",""
"1/12/2018","Pilot Travel Center","PILOT UNION STATION 209 TORONTO","4.05","debit","Coffee Shops","Starwood Preferred Guest®* Business Credit Card from American Express","",""
"1/12/2018","Eurest","EUREST BOMBARDIERQP TORONTO","10.16","debit","Food & Dining","Starwood Preferred Guest®* Business Credit Card from American Express","",""
"1/11/2018","Pilot Travel Center","PILOT UNION STATION 209 TORONTO","3.94","debit","Coffee Shops","American Express Cobalt Card","",""
"1/11/2018","Starbucks","STARBUCKS 04374 TORONTO","3.94","debit","Coffee Shops","American Express Cobalt Card","",""
"1/11/2018","Pilot Travel Center","PILOT UNION STATION 209 TORONTO","4.05","debit","Coffee Shops","Starwood Preferred Guest®* Business Credit Card from American Express","",""
"1/11/2018","Restaurant 27","CANIS RESTAURANT 208860 TORONTO","268.49","debit","Food & Dining","Starwood Preferred Guest®* Business Credit Card from American Express","",""
"1/11/2018","Apple Pay Offer","Apple Pay Offer MSP","10.00","credit","Income","TD UNLIMITED CHEQUING ACCOUNT","",""
"1/10/2018","Longo's","LONGO'S # 24 TORONTO TORONTO","42.27","debit","Groceries","American Express Cobalt Card","",""
"1/10/2018","Rexall Pharmacy","REXALL PHARMACY #004 TORONTO","25.98","debit","Pharmacy","American Express Cobalt Card","",""
"1/10/2018","Pure Fitness Canada Inc","NBX*Pure Fitness Canada Toronto","101.70","debit","Gym","American Express Cobalt Card","",""
"1/10/2018","Freshly Squeezed","FRESHLY SQUEEZED- TORONTO","8.48","debit","Coffee Shops","American Express Cobalt Card","",""
"1/10/2018","Disney","DISNEY STORE #651 TORONTO","12.37","debit","Travel","American Express Cobalt Card","",""
"1/10/2018","Starbucks","STARBUCKS 04374 TORONTO","4.80","debit","Coffee Shops","American Express Cobalt Card","",""
"1/10/2018","Pure Fitness Canada Inc","NBX*Pure Fitness Canada Toronto","101.70","debit","Gym","American Express Cobalt Card","",""
"1/10/2018","Winners","WINNERS 390 TORONTO","6.77","debit","Clothing","American Express Cobalt Card","",""
"1/10/2018","Nespresso Toronto","NESPRESSO TORONTO TORONTO","23.10","debit","Office Supplies","American Express Cobalt Card","",""
"1/10/2018","Pilot Travel Center","PILOT UNION STATION 209 TORONTO","4.05","debit","Coffee Shops","Starwood Preferred Guest®* Business Credit Card from American Express","",""
"1/10/2018","Transfer Chk","TRANSFER FROM CHK XXXXXX3150","350.00","credit","Transfer","TOTAL CHECKING","",""
"1/10/2018","PayPal","PAYPAL           INST XFER  SABOU72SSTO     WEB ID: PAYPALSI77","48.00","debit","Shopping","TOTAL CHECKING","",""
"1/10/2018","Transfer to CREDIT CARD","CHASE CREDIT CRD AUTOPAYPPD ID: 4760039224","49.82","debit","Credit Card Payment","TOTAL CHECKING","",""
"1/09/2018","Transfer Td Unlimited","Transfer to TD UNLIMITED CHEQUING ACCOUNT 6328801 WW234","500.00","debit","Transfer","LINE OF CREDIT UNSECURED","",""
"1/09/2018","Transfer to TD MINIMUM CHEQUING ACCOUNT","Transfer to TD MINIMUM CHEQUING ACCOUNT 6328801 WW234","500.00","debit","Transfer","LINE OF CREDIT UNSECURED","",""
"1/09/2018","Transfer from LINE OF CREDIT UNSECURED","Transfer from LINE OF CREDIT UNSECURED 3258410 WW234","500.00","credit","Transfer","TD UNLIMITED CHEQUING ACCOUNT","",""
"1/09/2018","Tim Horton's","TIM HORTONS #2162# QT TORONTO","5.63","debit","Coffee Shops","American Express Cobalt Card","",""
"1/09/2018","Balzac's Coffee Ltd","BALZAC'S COFFEE - LIBRA TORONTO","5.09","debit","Fast Food","American Express Cobalt Card","",""
"1/09/2018","Pilot Travel Center","PILOT UNION STATION 209 TORONTO","3.68","debit","Coffee Shops","Starwood Preferred Guest®* Business Credit Card from American Express","",""
"1/09/2018","United Airlines","UNITED AIRLINES HOUSTON","470.96","debit","Air Travel","Starwood Preferred Guest®* Business Credit Card from American Express","",""
"1/09/2018","Transfer from TOTAL CHECKING","AUTOMATIC PAYMENT - THANK","49.82","credit","Credit Card Payment","CREDIT CARD","",""
"1/09/2018","Account Maintenance Fee","MONTHLY SERVICE FEE","12.00","debit","Bank Fee","TOTAL CHECKING","",""
"1/08/2018","Pilot Travel Center","PILOT UNION STATION 209 TORONTO","4.05","debit","Coffee Shops","Starwood Preferred Guest®* Business Credit Card from American Express","",""
"1/08/2018","Amazon","AMAZON.CA AMAZON.CA","35.01","debit","Shopping","Starwood Preferred Guest®* Business Credit Card from American Express","",""
"1/08/2018","Transfer from TD BASIC BUSINESS PLAN","Transfer from TD BASIC BUSINESS PLAN 5013376 UJ101","3000.00","credit","Credit Card Payment","LINE OF CREDIT UNSECURED","No Reimburse",""
"1/08/2018","Tu Transu V","TU *TRANSU 16.95_V","16.95","debit","Financial Advisor","TD UNLIMITED CHEQUING ACCOUNT","No Reimburse",""
"1/08/2018","American Express","American Express IAP","10.00","debit","Credit Card Payment","TD UNLIMITED CHEQUING ACCOUNT","No Reimburse",""
"1/08/2018","Transfer to LINE OF CREDIT UNSECURED","Transfer to LINE OF CREDIT UNSECURED 3258410 UJ101","3000.00","debit","Credit Card Payment","TD BASIC BUSINESS PLAN","No Reimburse",""
"1/08/2018","Tdm Cbp","TDM CBP","3164.00","credit","Income","TD BASIC BUSINESS PLAN","No Reimburse",""
"1/08/2018","Central Univer","CENTRAL WASHINGTON UNIVER","50.00","debit","Alcohol & Bars","CREDIT CARD","No Reimburse",""
"1/08/2018","Tn Serv Fee","TN SERV FEE CNTRL WASHING","3.00","debit","Fees & Charges","CREDIT CARD","",""
"1/07/2018","Longo's","LONGO'S # 24 TORONTO TORONTO","72.22","debit","Groceries","American Express Cobalt Card","",""
